Raid,Server,Player ID,Player Name,Union ID,Union Name,Team Lv,Total Damage,Hit Count,Kill Hit Count
40,NA,2897469,ROMARIEL,4,SCARLET,1063,401990856238,3,0
40,NA,112397,张梦溪,969,極楽浄土,1084,399649494978,3,1
40,NA,1705703,KIRA,4,SCARLET,1077,398260513467,3,0
40,NA,51177,DON,969,極楽浄土,1074,389211672574,3,0
40,NA,220685,ZEARAIZA,1,MILKERS,1071,385106414558,3,0
40,NA,7061,SKYJLV,7,SKYFALL,1061,361169492289,3,2
40,NA,4389308,ZAJI,163,AZURESKY,1075,360661576168,3,0
40,NA,18992,VAKI,4,SCARLET,1061,359853725790,3,0
40,NA,2959083,雨幕幕,969,極楽浄土,1063,358808136351,3,1
40,NA,242630,CELUDE,4,SCARLET,1041,349411549684,3,0
40,NA,30143,琉华桑,969,極楽浄土,1075,336597143763,3,1
40,NA,2892929,ALTROS,7,SKYFALL,1053,336503536381,3,1
40,NA,5331798,CUP,10208,PIZZAPIE,1035,331188567840,3,1
40,NA,6049,NOEITA,4,SCARLET,1082,330719962972,3,0
40,NA,5099332,RADEKI,4,SCARLET,1045,329447560194,3,0
40,NA,570494,MASHIRO,969,極楽浄土,1030,326913302698,3,1
40,NA,461382,ZENKU,4,SCARLET,1053,326716354037,3,1
40,NA,698557,MARBLES,163,AZURESKY,1041,325791168375,3,0
40,NA,3009,SETSUNA,969,極楽浄土,1010,318561897495,3,0
40,NA,200727,UNCLEMAC,969,極楽浄土,1056,308759013340,3,0
40,NA,4970202,卡提希娅,4,SCARLET,1036,307061470400,3,0
40,NA,2488,NOLAR,4,SCARLET,1021,303691730767,3,0
40,NA,2480076,EYECANDY,163,AZURESKY,1001,302251676112,3,1
40,NA,371326,MIKU,4,SCARLET,1015,275471594548,3,0
40,NA,972803,HISTY,4,SCARLET,1003,270794522790,3,1
40,NA,6050,KERIPO,4,SCARLET,1064,267944037695,3,1
40,NA,1588079,ANGEL,3,SIN,961,253252146508,3,1
40,NA,35344,RAZ,3,SIN,921,250860661229,3,1
40,NA,241187,HARU,969,極楽浄土,1001,248819727404,3,1
40,NA,560531,PSYDER,4,SCARLET,981,248286798392,3,1
40,NA,3662766,FALCON,163,AZURESKY,1001,244088715454,3,0
40,NA,3935420,LOGIC,4,SCARLET,926,242425851864,3,0
40,NA,1586620,GWAINE,3,SIN,921,241816474126,3,0
40,NA,6502,SCARLET,4,SCARLET,925,235867130118,3,1
40,NA,9461,JEFF,4,SCARLET,923,231900805716,3,0
40,NA,116199,少女幼女童女,969,極楽浄土,921,230092168444,3,0
40,NA,102533,猪猪团子,969,極楽浄土,901,224651803702,3,1
40,NA,37936,KANTO,163,AZURESKY,901,222873988755,3,0
40,NA,41549,PIE,4,SCARLET,941,220216932793,3,1
40,NA,4050588,DANE,4,SCARLET,925,220123970598,3,0
40,NA,1483030,PRINCE,4,SCARLET,901,218729883387,3,0
40,NA,129400,0GURICAP,969,極楽浄土,916,217750111829,3,0
40,NA,198838,FUSKI,3,SIN,881,211789097460,3,0
40,NA,92325,BRANDON,4,SCARLET,947,209087631016,3,0
40,NA,1319616,HIROBEAR,4,SCARLET,901,208993361352,3,1
40,NA,17032,VICTOR,163,AZURESKY,917,207757959463,3,0
40,NA,3709507,LAPLUS,7,SKYFALL,868,207405054713,3,0
40,NA,54420,葉可,969,極楽浄土,901,206674738659,3,1
40,NA,1433030,TRINHUV,4,SCARLET,861,204409267946,3,1
40,NA,5053186,XAYLLA,7,SKYFALL,948,204350398671,3,1
40,NA,16932,BYACE,969,極楽浄土,901,202945573767,3,3
40,NA,73383,ZERO,6590,SNOWHITE,861,202380887215,3,1
40,NA,3636784,WEEPTRAP,969,極楽浄土,885,202376734573,3,0
40,NA,2832162,FUMBLES,6590,SNOWHITE,867,202160207867,3,0
40,NA,11878,买号卖号找嗔,969,極楽浄土,921,201200973593,3,1
40,NA,126167,坂木SAKAKI,969,極楽浄土,903,200178554707,3,0
40,NA,3864,カナ,2375,でっかいお尻,1016,199762361128,3,1
40,NA,162782,SYRILUS,3,SIN,875,198057642153,3,1
40,NA,3671517,SCYPER,6073,ARCFLASH,841,196755375812,3,0
40,NA,157585,KAI,6590,SNOWHITE,861,196417598338,3,0
40,NA,1066112,MURLOCKS,4,SCARLET,864,194953754131,3,0
40,NA,3582050,ALCINDER,1210,BACKDOOR,861,194762855553,3,0
40,NA,3928758,PANDA,1358,POLICE,852,194389039416,3,0
40,NA,3172,IAMF2P,4,SCARLET,861,193406362161,3,1
40,NA,4081232,SMITH,6590,SNOWHITE,841,192098764770,3,0
40,NA,3555239,SUNNESS,307,極乐净土,904,190771290639,3,1
40,NA,4389024,VENOM,163,AZURESKY,861,190021141314,3,0
40,NA,3888146,EMPTIVE,6080,COINRUSH,883,189234043001,3,0
40,NA,72747,PHOENIX,7,SKYFALL,881,187993883882,3,0
40,NA,6076,KONTO,7,SKYFALL,862,187917778751,3,0
40,NA,3020938,COOMER69,163,AZURESKY,869,184332716762,3,0
40,NA,61923,REDOFSUN,1739,POCKULT,881,183469767708,3,0
40,NA,29464,OIIAOIAO,3,SIN,833,183391849144,3,1
40,NA,801635,HARLOT,4,SCARLET,881,180356344654,3,0
40,NA,5202216,JONATHAN,4,SCARLET,901,179505680284,3,1
40,NA,486934,TAMAGO,4,SCARLET,861,178912408475,3,1
40,NA,3649320,GAMER,3,SIN,844,178628286425,3,0
40,NA,2462820,LVOY,969,極楽浄土,821,173865138095,3,0
40,NA,264948,QUEENT,3062,DUNGEON,881,172956512177,3,1
40,NA,2828694,MICHE,10208,PIZZAPIE,841,171221213238,3,0
40,NA,3976230,HURRICAN,243,WRATH,826,171125320486,3,0
40,NA,347603,NUMO,163,AZURESKY,819,170720384756,3,1
40,NA,35489,THOONUY,3,SIN,802,167916016788,3,0
40,NA,4925680,ISOLO,1358,POLICE,827,167055659780,3,0
40,NA,1325921,BRID,1,MILKERS,821,166436369506,3,0
40,NA,5102164,LUNAGATO,163,AZURESKY,821,165786221941,3,0
40,NA,28538,ESPARD,6590,SNOWHITE,821,165742816040,3,0
40,NA,147492,NINOSIMP,1489,COZY,821,165485364467,3,0
40,NA,3001691,PLAYBALL,445,AZUREASH,845,164711899577,3,1
40,NA,135945,RAINUS,969,極楽浄土,802,163480331743,3,0
40,NA,2888072,FRUIT,6590,SNOWHITE,841,163073361517,3,1
40,NA,2813549,EMERTXE,10208,PIZZAPIE,821,162634738862,3,1
40,NA,30993,BLUESTRK,10208,PIZZAPIE,848,162028755752,3,0
40,NA,107107,IKAROS,1279,TRUOTAKU,843,162026882034,3,1
40,NA,3631223,YEOWOOBI,32,ETERNAL,783,161802902970,3,1
40,NA,266712,AVEROTH,163,AZURESKY,881,161614159919,3,0
40,NA,3513,SILVYY,6590,SNOWHITE,841,159866384139,3,0
40,NA,6550,花总,969,極楽浄土,877,159838224456,3,0
40,NA,4296162,BROXMO,445,AZUREASH,795,159618571377,3,0
40,NA,756442,ECLIPSE,243,WRATH,808,159548756065,3,0
40,NA,143391,SOOSHEE,10208,PIZZAPIE,821,159432898644,3,0
40,NA,200641,DBGHOST,969,極楽浄土,886,158814870517,3,0
40,NA,192067,魔法少女小鱼,969,極楽浄土,808,158620803897,3,0
40,NA,93885,EGGROE,1,MILKERS,801,158029910055,3,0
40,NA,4899936,STAN,445,AZUREASH,793,157428491612,3,1
40,NA,489565,KAMUE,8967,GREMORY族,824,157144780654,3,0
40,NA,1988,YAMI,261,极乐浄土,785,156919944037,3,0
40,NA,442437,SOTIKE,4,SCARLET,881,156779122568,3,0
40,NA,3799594,SIVARK,6450,THIQUE,805,156488127902,3,0
40,NA,335197,EULA,10208,PIZZAPIE,801,156223216093,3,1
40,NA,3010970,WINGED,3,SIN,822,155499009546,3,0
40,NA,30756,GILZMONI,1,MILKERS,865,155443499104,3,0
40,NA,742001,WAKEMEUP,1,MILKERS,792,155347537160,3,0
40,NA,9775,KBIBOI,4399,FERTILE,818,154383067042,3,0
40,NA,1240438,ATTICUS,4,SCARLET,843,154343328734,3,0
40,NA,4026898,古界,32,ETERNAL,781,153945500888,3,0
40,NA,16468,法拉盛小笼包,969,極楽浄土,849,153202879248,3,1
40,NA,80586,DEV,243,WRATH,838,153067584488,3,1
40,NA,78479,辉钻,8009,极乐净土,840,152874829800,3,0
40,NA,485750,NEOZERO,10208,PIZZAPIE,841,151494046937,3,0
40,NA,4180976,MIRETHRO,10208,PIZZAPIE,821,151470863480,3,1
40,NA,137800,ZEKI,421,NEKOKKI,781,151317557629,3,0
40,NA,49348,VARELSE,1048,AZUREKON,827,151275238982,3,1
40,NA,287979,KITE,163,AZURESKY,815,151226959523,3,2
40,NA,49417,SHIFT,49,AZUREGO,842,151043400043,3,0
40,NA,41712,DRAGARK,163,AZURESKY,850,150930790264,3,1
40,NA,4363939,EAUX,243,WRATH,781,150415715016,3,0
40,NA,4469047,ZETHEN,6073,ARCFLASH,781,150144954070,3,1
40,NA,38878,KENN,3,SIN,801,150004597754,3,1
40,NA,292637,LIZ,6590,SNOWHITE,827,149274459889,3,1
40,NA,32437,布伦希尔德,307,極乐净土,781,149168837187,3,0
40,NA,121930,LEEJIEUN,3339,来来屁股好耶,794,149010830247,3,0
40,NA,5183328,BAE,13571,OLYMPUS,807,148464151037,3,0
