[Shoot] 時間:  0.12s | 弾数: 59/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  0.15s | 弾数: 58/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  0.20s | 弾数: 57/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  0.23s | 弾数: 56/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  0.28s | 弾数: 55/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  0.32s | 弾数: 54/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  0.37s | 弾数: 53/60  | Pellets: 1 | Dmg:         2 | Buffs: None
[Shoot] 時間:  0.40s | 弾数: 52/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  0.45s | 弾数: 51/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  0.48s | 弾数: 50/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  0.53s | 弾数: 49/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  0.57s | 弾数: 48/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  0.62s | 弾数: 47/60  | Pellets: 1 | Dmg:         2 | Buffs: None
[Shoot] 時間:  0.65s | 弾数: 46/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  0.70s | 弾数: 45/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  0.73s | 弾数: 44/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  0.78s | 弾数: 43/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  0.82s | 弾数: 42/60  | Pellets: 1 | Dmg:         2 | Buffs: None
[Shoot] 時間:  0.87s | 弾数: 41/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  0.90s | 弾数: 40/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  0.95s | 弾数: 39/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  0.98s | 弾数: 38/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  1.03s | 弾数: 37/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  1.07s | 弾数: 36/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  1.12s | 弾数: 35/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  1.15s | 弾数: 34/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  1.20s | 弾数: 33/60  | Pellets: 1 | Dmg:         2 | Buffs: None
[Shoot] 時間:  1.23s | 弾数: 32/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  1.28s | 弾数: 31/60  | Pellets: 1 | Dmg:         2 | Buffs: None
[Shoot] 時間:  1.32s | 弾数: 30/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  1.37s | 弾数: 29/60  | Pellets: 1 | Dmg:         2 | Buffs: None
[Shoot] 時間:  1.40s | 弾数: 28/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  1.45s | 弾数: 27/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  1.48s | 弾数: 26/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  1.53s | 弾数: 25/60  | Pellets: 1 | Dmg:         2 | Buffs: None
[Shoot] 時間:  1.57s | 弾数: 24/60  | Pellets: 1 | Dmg:         2 | Buffs: None
[Shoot] 時間:  1.62s | 弾数: 23/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  1.65s | 弾数: 22/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  1.70s | 弾数: 21/60  | Pellets: 1 | Dmg:         2 | Buffs: None
[Shoot] 時間:  1.73s | 弾数: 20/60  | Pellets: 1 | Dmg:         2 | Buffs: None
[Shoot] 時間:  1.78s | 弾数: 19/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  1.82s | 弾数: 18/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  1.87s | 弾数: 17/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  1.90s | 弾数: 16/60  | Pellets: 1 | Dmg:         2 | Buffs: None
[Shoot] 時間:  1.95s | 弾数: 15/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  1.98s | 弾数: 14/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  2.03s | 弾数: 13/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  2.07s | 弾数: 12/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  2.12s | 弾数: 11/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  2.15s | 弾数: 10/60  | Pellets: 1 | Dmg:         2 | Buffs: None
[Shoot] 時間:  2.20s | 弾数:  9/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  2.23s | 弾数:  8/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  2.28s | 弾数:  7/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  2.32s | 弾数:  6/60  | Pellets: 1 | Dmg:         2 | Buffs: None
[Shoot] 時間:  2.37s | 弾数:  5/60  | Pellets: 1 | Dmg:         1 | Buffs: None
[Shoot] 時間:  2.40s | 弾数:  4/60  | Pellets: 1 | Dmg:         1 | Buffs: None
